"term","type","estimate","std.error","statistic","p.value","ci.lb","ci.ub"
"intercept","summary",-0.126429112656704,0.243843247340483,-0.51848519093977,0.604119789857519,-0.604361877444049,0.351503652130642
"age_at_survey","summary",0.015110382936925,0.00163964853016399,9.21562314053594,3.09475471415475e-20,0.0118966718178036,0.0183240940560465
"state_regionCentral Coast","summary",0.0653124080156933,0.0341918972407406,1.9101720959161,0.0561110586947639,-0.00170371057615831,0.132328526607545
"state_regionNorth Central Coast","summary",0.189246428611492,0.0396806904448632,4.76923225099755,1.84929356369804e-06,0.11147227533956,0.267020581883424
"state_regionSouth Coast","summary",0.142493106444686,0.0264008578958286,5.39729076255511,6.76547004170248e-08,0.0907474249688619,0.19423878792051
"size","summary",-0.000493604248720924,0.000435648617132151,-1.13303297499322,0.25720040594889,-0.00134747553829994,0.000360267040858091
"habitat_richness","summary",-0.0282668792075694,0.00753390037786309,-3.7519581876376,0.000175458731983167,-0.0430333239481811,-0.0135004344669578
"habitat_diversity","summary",0.218354579736179,0.0431309767935794,5.06259296609958,4.13592267710704e-07,0.133817865220764,0.302891294251595
"log(fishing_pressure)","summary",0.00266777574840527,0.00483373843474745,0.551907345508789,0.581011835476236,-0.00680635158369972,0.0121419030805103
"target_statusTargeted","summary",0.120834270859742,0.0174538399484949,6.92307659611384,4.41938649597759e-12,0.0866247445606919,0.155043797158792
